               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  53,             0.03466,            0.016779,                   0,              6.5213,            0.013669,                 0.4,           0.0091487,           0.0016022,            0.031577,            0.015256,                   0,              6.3989,           0.0036384,           0.0036384,            0.038938
                  54,            0.034964,            0.017899,                   0,              6.3806,            0.013669,                 0.4,           0.0091487,           0.0016022,            0.031577,            0.015256,                   0,              6.3989,           0.0036236,           0.0036236,            0.037724
                  55,            0.032145,            0.018067,                   0,              6.3641,           0.0036596,                 0.6,             0.00292,          0.00056438,            0.031753,              0.0157,                   0,              6.3208,           0.0036061,           0.0036061,            0.036506
                  56,            0.038547,            0.017912,                   0,              6.2419,           0.0036596,                 0.6,             0.00292,          0.00056438,            0.031753,              0.0157,                   0,              6.3208,           0.0035861,           0.0035861,            0.035286
                  57,            0.035204,             0.01886,                   0,              6.2998,           0.0036596,                 0.6,             0.00292,          0.00056438,            0.031753,              0.0157,                   0,              6.3208,           0.0035636,           0.0035636,            0.034064
                  58,            0.041534,            0.017251,                   0,              7.5967,             0.19827,             0.19827,            0.055269,            0.010865,            0.034121,            0.016663,                   0,              6.0929,           0.0035387,           0.0035387,            0.032839
                  59,            0.035187,            0.017481,                   0,              6.3644,             0.19827,             0.19827,            0.055269,            0.010865,            0.034121,            0.016663,                   0,              6.0929,           0.0035116,           0.0035116,            0.031612
                  60,            0.027958,            0.015655,                   0,              5.3169,             0.19827,             0.19827,            0.055269,            0.010865,            0.034121,            0.016663,                   0,              6.0929,           0.0034824,           0.0034824,            0.030382
                  61,            0.022105,            0.015627,                   0,               4.156,             0.19827,             0.19827,            0.055269,            0.010865,            0.034121,            0.016663,                   0,              6.0929,           0.0034513,           0.0034513,            0.029151
                  62,            0.036198,            0.015561,                   0,               6.309,             0.99316,                 0.2,             0.20435,             0.11899,            0.029667,            0.015904,                   0,              6.0145,           0.0034183,           0.0034183,            0.027918
                  63,            0.032889,            0.017723,                   0,               6.152,             0.99316,                 0.2,             0.20435,             0.11899,            0.029667,            0.015904,                   0,              6.0145,           0.0033836,           0.0033836,            0.026684
                  64,            0.032453,            0.016114,                   0,              5.8227,             0.99316,                 0.2,             0.20435,             0.11899,            0.029667,            0.015904,                   0,              6.0145,           0.0033473,           0.0033473,            0.025447
                  65,            0.032098,            0.017868,                   0,              6.4151,             0.99316,                 0.2,             0.20435,             0.11899,            0.029667,            0.015904,                   0,              6.0145,           0.0033096,           0.0033096,             0.02421
                  66,            0.037536,            0.015792,                   0,              6.3787,             0.99316,                 0.2,             0.20435,             0.11899,            0.029667,            0.015904,                   0,              6.0145,           0.0032706,           0.0032706,            0.022971
                  67,            0.027615,            0.015758,                   0,              5.9962,            0.051574,                 0.2,            0.016534,           0.0037715,            0.027515,            0.016773,                   0,              5.9559,           0.0032305,           0.0032305,            0.021731
                  68,            0.041403,            0.016333,                   0,              7.6641,            0.051574,                 0.2,            0.016534,           0.0037715,            0.027515,            0.016773,                   0,              5.9559,           0.0031895,           0.0031895,            0.020489
                  69,            0.036843,            0.016541,                   0,              7.0876,            0.051574,                 0.2,            0.016534,           0.0037715,            0.027515,            0.016773,                   0,              5.9559,           0.0031476,           0.0031476,            0.019248
                  70,            0.029606,            0.015541,                   0,              6.5755,            0.051574,                 0.2,            0.016534,           0.0037715,            0.027515,            0.016773,                   0,              5.9559,           0.0031052,           0.0031052,            0.018005
                  71,            0.024226,            0.015195,                   0,              4.4133,           0.0032254,                 0.2,           0.0024329,          0.00030142,            0.031689,             0.01646,                   0,              6.2049,           0.0030622,           0.0030622,            0.016762
                  72,            0.022474,            0.015253,                   0,              4.3018,           0.0032254,                 0.2,           0.0024329,          0.00030142,            0.031689,             0.01646,                   0,              6.2049,            0.003019,            0.003019,            0.015519
                  73,            0.028776,            0.015536,                   0,              5.2769,           0.0032254,                 0.2,           0.0024329,          0.00030142,            0.031689,             0.01646,                   0,              6.2049,           0.0029757,           0.0029757,            0.014276
                  74,            0.039778,            0.016193,                   0,              7.0031,           0.0032254,                 0.2,           0.0024329,          0.00030142,            0.031689,             0.01646,                   0,              6.2049,           0.0029324,           0.0029324,            0.013032
                  75,            0.025979,            0.015683,                   0,              5.2631,           0.0032254,                 0.2,           0.0024329,          0.00030142,            0.031689,             0.01646,                   0,              6.2049,           0.0028893,           0.0028893,            0.011789
                  76,            0.031212,            0.014979,                   0,              5.7313,           0.0067697,                 0.4,           0.0032637,          0.00055986,            0.030102,            0.018489,                   0,              6.1823,           0.0028466,           0.0028466,            0.010547
